job_id,job_title,rome_code,rome_label,contract_type,contract_label,contract_nature,experience_required,experience_label,date_creation,calculated_salary,job_location,experience_required_months
9212108,Technicien en automatisme industriel (H/F),H1208,Automaticien / Automaticienne en bureau d'études,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 6 An(s),2024-01-06,26629.285714285714,19100,72
9211751,Technicien en automatisme industriel (H/F),H1208,Automaticien / Automaticienne en bureau d'études,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 6 An(s),2024-01-06,26629.285714285714,19000,72
9657486,Ingénieur Support Logiciels GTB (H/F),M1805,Développeur / Développeuse web,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,2024-01-16,36647.2,94150,0
9711392,Ingénieur logiciel embarqué (H/F),M1805,Développeur / Développeuse web,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 1 An(s),2024-01-16,36647.2,33000,12
9801889,LE GAULOIS - Chef de projet étude et développement informatique (H/F),M1805,Développeur / Développeuse web,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 2 An(s),2024-01-18,36647.2,72300,24
9878208,LE GAULOIS - Chef de projet étude et développement informatique (H/F),M1805,Développeur / Développeuse web,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 2 An(s),2024-01-19,36647.2,72300,24
9986506,SPÉCIALISTE MICROBIOLOGIE ET STÉRILISATION (H/F),M1802,Ingénieur / Ingénieure système informatique,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 3 An(s),2024-01-20,47885.51351351351,59610,36
0323059,Expert / Experte en cybersécurité (H/F),M1802,Ingénieur / Ingénieure système informatique,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 1 An(s),2024-01-26,47885.51351351351,75009,12
0322665,Architecte SI (H/F),M1802,Ingénieur / Ingénieure système informatique,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 1 An(s),2024-01-26,47885.51351351351,31000,12
0320392,Architecte système (H/F),M1802,Ingénieur / Ingénieure système informatique,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 1 An(s),2024-01-26,47885.51351351351,31000,12
168LKCB,TECHNICIEN SAV SON ET LUMIERE H/F (H/F),I1401,Technicien / Technicienne de maintenance en informatique,CDI,CDI,Contrat travail,D,Débutant accepté,2024-01-27,26371.231884057972,46230,0
0443971,Assistant / Assistante micro-informatique (H/F),I1401,Technicien / Technicienne de maintenance en informatique,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,2024-01-27,26371.231884057972,93160,0
0465013,Intégrateur logiciel temps réel embarqué (h/f),M1805,Développeur / Développeuse web,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,2024-01-28,36647.2,92230,0
0465171,Ingénieur en développement logiciel temps réel embarqué - f/h (H/F),M1805,Développeur / Développeuse web,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,2024-01-28,36647.2,49300,0
0464953,Responsable d'ingénierie logicielle - f/h (H/F),M1802,Ingénieur / Ingénieure système informatique,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,2024-01-28,47885.51351351351,49300,0
0464844,Ingénieur système rf (f/h) (H/F),M1802,Expertise et support en systèmes d'information,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,2024-01-28,47885.51351351351,78140,0
0468098,Ingénieur développement logiciel c/c++ (h/f),M1803,Directeur / Directrice des services informatiques -DSI-,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,2024-01-28,48482.2,33000,0
0464806,Ingenieur systemes de communication h/f,M1807,Opérateur / Opératrice télécom aux armées,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,2024-01-28,23400.0,92130,0
0995980,Formateur informatique H/F,K2111,Formateur / Formatrice,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée de 3 An(s),2024-02-07,40748.4,71200,36
0944909,Technicien-ne de contrôle sav f/h (H/F),I1401,Technicien / Technicienne de maintenance en informatique,CDI,Contrat à durée indéterminée,Contrat travail,D,Débutant accepté,2024-02-07,26371.231884057972,79000,0
1503579,Architecte logiciel f/h (H/F),M1802,Ingénieur / Ingénieure système informatique,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,2024-02-15,47885.51351351351,86000,0
1653977,Technicien / Technicienne de maintenance en informatique (H/F),I1401,Technicien / Technicienne de maintenance en informatique,MIS,Mission intérimaire - 6 Mois,Contrat travail,D,Débutant accepté,2024-02-18,26371.231884057972,12000,0
1671725,Programmeur catia v5 h/f,M1805,Développeur / Développeuse web,MIS,Mission intérimaire - 12 Mois,Contrat travail,D,Débutant accepté,2024-02-18,36647.2,31000,0
1875111,INGÉNIEUR R&D LINUX EMBARQUÉ - H/F,M1805,Développeur / Développeuse web,CDI,Contrat à durée indéterminée,Contrat travail,E,Expérience exigée,2024-02-21,36647.2,75008,0
